Name
Labrador Retriever
German Shepherd
Golden Retriever
Bulldog
Beagle
French Bulldog
Poodle (Standard)
Rottweiler
Yorkshire Terrier
Boxer
German Shorthaired Pointer
Siberian Husky
"Dachshund (Toy, Miniature, Standard)"
Great Dane
Doberman Pinscher
Australian Shepherd
Miniature Schnauzer
Pembroke Welsh Corgi
Cavalier King Charles Spaniel
Shih Tzu
Boston Terrier
Pomeranian
Havanese
Shetland Sheepdog
Brittany
English Springer Spaniel
Bernese Mountain Dog
Mastiff
American Cocker Spaniel
Chihuahua
Vizsla
Pug
Maltese
Weimaraner
Newfoundland
Miniature American Shepherd
Collie
Border Collie
Basset Hound
Cane Corso
West Highland White Terrier
Rhodesian Ridgeback
Chesapeake Bay Retriever
Shiba Inu
Bichon Frise
Akita
Belgian Malinois
Bullmastiff
St. Bernard (Saint Bernard)
Soft Coated Wheaten Terrier
Portuguese Water Dog
Bloodhound
Papillon
Australian Cattle Dog
Airedale Terrier
English Cocker Spaniel
Bull Terrier
Scottish Terrier
Alaskan Malamute
Whippet
Chinese Shar-Pei
Dogue de Bordeaux
German Wirehaired Pointer
Samoyed
Dalmatian
Wirehaired Pointing Griffon
Great Pyrenees
Miniature Pinscher
Cardigan Welsh Corgi
Cairn Terrier
Lhasa Apso
Italian Greyhound
Irish Wolfhound
Chow Chow
Old English Sheepdog
Irish Setter
Chinese Crested
Greater Swiss Mountain Dog
Giant Schnauzer
Coton De Tulear
American Staffordshire Terrier
Staffordshire Bull Terrier
Bouvier des Flandres
Anatolian Shepherd Dog
Standard Schnauzer
Border Terrier
Nova Scotia Duck Tolling Retriever
Basenji
Flat-Coated Retriever
Jack Russell Terrier
Tibetan Terrier
Keeshond
Pekingese
Norwegian Elkhound
Leonberger
Rat Terrier
Brussels Griffon
Borzoi
Neapolitan Mastiff
Silky Terrier
Wire Fox Terrier
English Setter
Norwich Terrier
Gordon Setter
Spinone Italiano
American Hairless Terrier
Belgian Tervuren
Japanese Chin
Parson Russell Terrier
Boykin Spaniel
Welsh Terrier
Schipperke
Afghan Hound
Lagotto Romagnolo
Irish Terrier
Toy Fox Terrier
Pointer
Tibetan Spaniel
Black Russian Terrier
Miniature Bull Terrier
Bluetick Coonhound
"American Eskimo Dog (Toy, Miniature, Standard)"
Welsh Springer Spaniel
Smooth Fox Terrier
Saluki
Bearded Collie
Kerry Blue Terrier
Black and Tan Coonhound
Belgian Sheepdog
English Toy Spaniel
Boerboel
Briard
"Manchester Terrier (Toy, Standard)"
Norfolk Terrier
Tibetan Mastiff
Australian Terrier
Treeing Walker Coonhound
Bedlington Terrier
Xoloitzcuintli
Beauceron
Berger Picard
Irish Red and White Setter
Redbone Coonhound
Clumber Spaniel
Lakeland Terrier
German Pinscher
Field Spaniel
Petit Basset Griffon Vendeen
Affenpinscher
Irish Water Spaniel
Greyhound
Ibizan Hound
Icelandic Sheepdog
Scottish Deerhound
Sealyham Terrier
American Water Spaniel
Wirehaired Vizsla
Plott Hound
Puli
Portuguese Podengo Pequeno
Entlebucher Mountain Dog
Spanish Water Dog
Swedish Vallhund
Curly-Coated Retriever
Kuvasz
Otterhound
Dandie Dinmont Terrier
Pharaoh Hound
Polish Lowland Sheepdog
American English Coonhound
Lowchen
Sussex Spaniel
Finnish Lapphund
Norwegian Buhund
Chinook
Pyrenean Shepherd
Komondor
Skye Terrier
Finnish Spitz
Glen of Imaal Terrier
Canaan Dog
Cesky Terrier
Cirneco dell’Etna
Bergamasco
Harrier
English Foxhound
Norwegian Lundehund
American Foxhound
Miniature Poodle
Toy Poodle
Miniature Shar Pei
Grand Bleu de Gascogne
Kangal Dog
Spanish Greyhound
Africanis
Aidi
Akbash Dog
Alano Espanol
Alapaha Blue Blood Bulldog
Alaskan Klee Kai
American Mastiff
American Pit Bull Terrier
American Staghound
American White Shepherd
Appenzeller Sennenhund
Dogo Argentino
Ariege Pointer
Ariegeois
Australian Bulldog
Australian Kelpie
Australian Stumpy Tail Cattle Dog
Austrian Black and Tan Hound
Austrian Pinscher
Azawakh
Barbet
Basset Bleu de Gascogne
Basset Fauve de Bretagne
Bavarian Mountain Hound
Belgian Shepherd Laekenois
Black Mouth Cur
Black Norwegian Elkhound
Blue Lacy
Blue Picardy Spaniel
Bohemian Shepherd
Bouvier des Ardennes
Bracco Italiano
Braque du Bourbonnais
Brazilian Terrier
Briquet Griffon Vendeen
Bukovina Sheepdog
Bulgarian Shepherd Dog
Cão da Serra de Aires
Canadian Eskimo Dog
Caravan Hound
Carolina Dog
Carpathian Sheepdog
Catahoula Bulldog
Catahoula Leopard Dog
Catalan Sheepdog
Caucasian Ovcharka
Central Asian Ovtcharka
Cesky Fousek
Chart Polski
Cockapoo
Croatian Sheepdog
Czechoslovakian Wolfdog
Danish-Swedish Farmdog
Deutsche Bracke
Dingo
Drentse Patrijshond
Drever
Dunker
Dutch Shepherd Dog
Dutch Smoushond
East Siberian Laika
East-European Shepherd
English Shepherd
Eurasier
Fila Brasileiro
Finnish Hound
French Spaniel
Francais Blanc et Noir
Jagdterrier
German Longhaired Pointer
Goldendoodle
Polish Hunting Dog
Grand Basset Griffon Vendeen
Greenland Dog
Griffon bleu de Gascogne
Large Munsterlander
Hamilton Hound
Hokkaido Dog
Hovawart
Jämthund
Japanese Spitz
Japanese Terrier
Korean Jindo
Karelian Bear Dog
Kishu Ken
Kooikerhondje
Koolie
Kromfohrlander
Lancashire Heeler
Landseer
Lapponian Herder
McNab
Miniature Bulldog
Mudi
Small Munsterlander
New Guinea Singing Dog
Norrbottenspets
Northern Inuit Dog
Olde English Bulldogge
Pakistani Mastiff
Patterdale Terrier
Perro de Presa Canario
Perro de Presa Mallorquin
Peruvian Inca Orchid
Picardy Spaniel
Plummer Terrier
Portuguese Pointer
Prazsky Krysarik
Pudelpointer
Pumi
Rafeiro do Alentejo
Rajapalayam
Russian Spaniel
Russian Toy
Saarloos wolfdog
Sapsali
Sarplaninac
Schapendoes
Seppala Siberian Sleddog
Shikoku dog
Shiloh Shepherd dog
Silken Windhound
Sloughi
Smaland Hound
South Russian Ovcharka
Pont-Audemer Spaniel
Spanish Mastiff
Serbian Hound
Swedish Lapphund
Tamaskan Dog
Thai Bangkaew Dog
Thai Ridgeback
Tornjak
Tosa
Karst Shepherd
Transylvanian Hound
Volpino Italiano
West Siberian Laika
Wetterhoun
Alaskan Husky
Alopekis
American Bulldog
Andalusian Hound
Basset Artesien Normand
Beagle-Harrier
Beaglier
Bolognese dog
Bull Arab
Mountain Feist
Texas Heeler
Chippiparai
Chizer
